"congress","node","party"
54,41,"Democrat"
54,42,"Democrat"
54,43,"Democrat"
54,44,"Democrat"
54,45,"Republican"
54,46,"Republican"
54,47,"Republican"
54,48,"Democrat"
54,49,"Republican"
54,50,"Republican"
54,51,"Republican"
54,52,"Democrat"
54,53,"Democrat"
54,54,"Democrat"
54,55,"Democrat"
54,56,"Republican"
54,57,"Republican"
54,58,"Democrat"
54,59,"Republican"
54,60,"Democrat"
54,61,"Republican"
54,62,"Republican"
54,63,"Republican"
54,64,"Republican"
54,65,"Republican"
54,66,"Republican"
54,67,"Democrat"
54,68,"Democrat"
54,69,"Republican"
54,70,"Democrat"
54,71,"Democrat"
54,72,"Democrat"
54,73,"Democrat"
54,74,"Democrat"
54,75,"Republican"
54,76,"Republican"
54,77,"Republican"
54,78,"Republican"
54,79,"Democrat"
54,80,"Democrat"
54,81,"Republican"
54,82,"Republican"
54,83,"Democrat"
54,84,"Republican"
54,85,"Democrat"
54,86,"Democrat"
54,87,"Republican"
54,88,"Republican"
55,1,"Democrat"
55,2,"Democrat"
55,3,"Democrat"
55,4,"Democrat"
55,5,"Democrat"
55,6,"Republican"
55,7,"Republican"
55,8,"Democrat"
55,9,"Republican"
55,10,"Republican"
55,11,"Democrat"
55,12,"Democrat"
55,13,"Democrat"
55,14,"Democrat"
55,15,"Democrat"
55,16,"Democrat"
55,17,"Republican"
55,18,"Democrat"
55,19,"Republican"
55,20,"Republican"
55,21,"Democrat"
55,22,"Republican"
55,23,"Republican"
55,24,"Republican"
55,25,"Democrat"
55,26,"Republican"
55,27,"Republican"
55,28,"Democrat"
55,29,"Democrat"
55,30,"Democrat"
55,31,"Republican"
55,32,"Republican"
55,33,"Republican"
55,34,"Democrat"
55,35,"Republican"
55,36,"Republican"
55,37,"Republican"
55,38,"Republican"
55,39,"Republican"
55,40,"Republican"
55,41,"Democrat"
55,42,"Democrat"
55,43,"Democrat"
55,44,"Democrat"
55,45,"Democrat"
55,46,"Democrat"
55,47,"Republican"
55,48,"Democrat"
55,49,"Democrat"
55,50,"Republican"
55,51,"Republican"
55,52,"Republican"
55,53,"Republican"
55,54,"Democrat"
55,55,"Democrat"
55,56,"Republican"
55,57,"Republican"
55,58,"Democrat"
55,59,"Democrat"
55,60,"Republican"
55,61,"Republican"
55,62,"Republican"
55,63,"Republican"
55,64,"Republican"
55,65,"Republican"
55,66,"Republican"
55,67,"Republican"
55,68,"Republican"
55,69,"Republican"
55,70,"Democrat"
55,71,"Democrat"
55,72,"Democrat"
55,73,"Democrat"
55,74,"Democrat"
55,75,"Democrat"
55,76,"Democrat"
55,77,"Democrat"
55,78,"Democrat"
55,79,"Democrat"
55,80,"Democrat"
55,81,"Democrat"
55,82,"Republican"
55,83,"Republican"
55,84,"Republican"
55,85,"Democrat"
55,86,"Democrat"
55,87,"Republican"
55,88,"Democrat"
55,89,"Republican"
55,90,"Democrat"
55,91,"Democrat"
55,92,"Republican"
55,93,"Republican"
55,94,"Republican"
56,1,"Democrat"
56,2,"Democrat"
56,3,"Democrat"
56,4,"Democrat"
56,5,"Republican"
56,6,"Republican"
56,7,"Republican"
56,8,"Democrat"
56,9,"Republican"
56,10,"Republican"
56,11,"Democrat"
56,12,"Democrat"
