CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
USA,2020,50,b,530,18698,16201,20710,25720,81859,0.000451799043706773,0.00451774058297108,0.0258970026807748,0.0674936492482674,0.217492696342222,0.0128656997058761,0,0,0
USA,2020,51,m,279,12116,9804,11142,10305,43646,0.000464984850730416,0.0058395113227106,0.0333204420819133,0.0823690529637534,0.239860535208347,0.013867688260179,0,0,0
USA,2020,51,f,221,6817,7030,9773,15310,39151,0.000385643338919021,0.00330286868423502,0.0212156064400269,0.0569607006401516,0.203335231699492,0.0121766187177952,0,0,0
USA,2020,51,b,500,18933,16834,20915,25615,82797,0.000426225512930918,0.00457452040097291,0.026908841622626,0.0681617418651624,0.216604798476128,0.0130131242569225,0,0,0
USA,2020,52,m,291,12500,10031,11339,10405,44566,0.000484984199148928,0.00602458662379353,0.0340919374259151,0.0838254076068928,0.242188148359326,0.0141600008019782,0,0,0
USA,2020,52,f,203,7074,6967,9924,15490,39658,0.000354233474210685,0.00342738639757643,0.0210254808062116,0.0578407851379171,0.20572584840138,0.0123343042351491,0,0,0
USA,2020,52,b,494,19574,16998,21263,25895,84224,0.000421110806775747,0.00472939641518215,0.0271709926280977,0.0692958698196963,0.218972526119045,0.0132374044641115,0,0,0
USA,2020,53,m,294,12914,10612,11663,10584,46067,0.000489984036253557,0.00622412093277358,0.0360665576676115,0.0862206304717516,0.246354575899578,0.0146369150685439,0,0,0
USA,2020,53,f,246,7262,7262,10256,15760,40786,0.000429268151013933,0.00351847328515692,0.0219157516312198,0.0597758053581699,0.209311773454212,0.0126851311850015,0,0,0
USA,2020,53,b,540,20176,17874,21919,26344,86853,0.000460323553965392,0.00487484939576556,0.0285712626329344,0.0714337661937602,0.222769346517865,0.0136506018465221,0,0,0
USA,2021,1,m,285,13027,10607,11764,10454,46137,0.000477199708766228,0.00625224145769261,0.0349084725712187,0.0850793658986731,0.242828157730247,0.0145727359793436,0,0,0
USA,2021,1,f,225,7444,7318,10284,15475,40746,0.000394718832487643,0.00360173486714938,0.0214457505212934,0.0588664586779241,0.207211681072482,0.0126249313994665,0,0,0
USA,2021,1,b,510,20471,17925,22048,25929,86883,0.000436920563530067,0.00493234970523952,0.027787042735094,0.0704473320154012,0.220235423921732,0.01358947414982,0,0,0
USA,2021,2,m,293,13107,10635,11831,10407,46273,0.000490594788310543,0.00629063704505849,0.0350006227769313,0.0855639219608298,0.241736429835344,0.0146156926538823,0,0,0
USA,2021,2,f,229,7403,7528,10284,15513,40957,0.000401736056176312,0.00358189726242704,0.0220611656086768,0.0588664586779241,0.207720504586586,0.0126903086272996,0,0,0
USA,2021,2,b,522,20510,18163,22115,25920,87230,0.000447201047377833,0.00494174649281728,0.0281559864545335,0.0706614090856584,0.220158979831513,0.0136437488356618,0,0,0
USA,2021,3,m,291,12502,10361,11251,9922,44327,0.000487246018424464,0.00600027041560397,0.0340988671924575,0.0813692575421601,0.230470727090062,0.014001033178498,0,0,0
USA,2021,3,f,242,7203,7183,9886,14691,39205,0.000424542033164487,0.00348512845890341,0.0210501265365469,0.0565882740655346,0.196713848570975,0.0121474607450077,0,0,0
USA,2021,3,b,533,19705,17544,21137,24613,83532,0.000456624824238286,0.00474778715948145,0.0271964227472518,0.0675365228959332,0.209057599174113,0.0130653402240112,0,0,0
USA,2021,4,m,307,12172,9803,10499,9358,42139,0.000514036177513095,0.00584188861771969,0.0322624452357553,0.0759306581579538,0.21736999235122,0.013309936091067,0,0,0
USA,2021,4,f,257,6848,6714,9260,13831,36910,0.000450856621996997,0.00331336383264898,0.0196756995080574,0.0530049987706707,0.18519836904126,0.0114363672005671,0,0,0
USA,2021,4,b,564,19020,16517,19759,23189,79049,0.000483182740845015,0.00458274101869257,0.0256043840923597,0.0631335646449706,0.196962445343864,0.0123641488216236,0,0,0
USA,2021,5,m,266,11846,9662,10189,8910,40873,0.000445386394848479,0.0056854265992037,0.0317984031284166,0.0736886823479752,0.206963734970012,0.0129100599883761,0,0,0
USA,2021,5,f,266,6900,6558,8708,13043,35475,0.000466645375296502,0.00333852372156512,0.0192185340145726,0.0498453055394169,0.174646976169847,0.0109917400823657,0,0,0
USA,2021,5,b,532,18746,16220,18897,21953,76348,0.000455768117250972,0.00451672256237702,0.0251439795349079,0.0603793193530042,0.186464123620416,0.0119416821747691,0,0,0
USA,2021,6,m,309,11488,8921,9380,8090,38188,0.000517384947399173,0.00551360634574136,0.0293597137558067,0.0678378487019342,0.187916567441907,0.0120619815241384,0,0,0
USA,2021,6,f,223,6624,6063,8371,11913,33194,0.000391210220643308,0.00320498277270252,0.0177679127371689,0.0479162899254087,0.159516171671501,0.0102849843634686,0,0,0
USA,2021,6,b,532,18112,14984,17751,20003,71382,0.000455768117250972,0.0043639645284206,0.0232279524877349,0.0567176428975593,0.16990123740624,0.0111649441635585,0,0,0
USA,2021,7,m,290,11064,8653,8990,7870,36867,0.000485571633481425,0.00531010973270216,0.0284777046439856,0.0650172984893804,0.182806351763635,0.0116447332368914,0,0,0
USA,2021,7,f,253,6329,6100,8077,11745,32504,0.000443839398308327,0.00306224878750517,0.0178763430144698,0.0462334098348496,0.157266636135464,0.0100711915331139,0,0,0
USA,2021,7,b,543,17393,14753,17067,19615,69371,0.000465191894111424,0.00419072631641009,0.0228698600541613,0.0545321396728434,0.166605647739009,0.0108504012435939,0,0,0
USA,2021,8,m,320,10662,8239,8470,7475,35166,0.000535803181772607,0.00511717190618857,0.0271151980309485,0.061256564872642,0.173631191795829,0.011107458947257,0,0,0
USA,2021,8,f,259,6241,5940,7739,11273,31452,0.000454365233841331,0.00301967051395477,0.0174074553288443,0.0442986701389007,0.150946512486597,0.00974523492799344,0,0,0
USA,2021,8,b,579,16903,14179,16209,18748,66618,0.000496033345654723,0.00407266411351002,0.0219800546131603,0.0517906751014894,0.159241533714552,0.010419801214423,0,0,0
USA,2021,9,m,285,10626,7711,8076,7018,33716,0.000477199708766228,0.00509989389187393,0.0253775084375099,0.0584070859399595,0.163015880136873,0.0106494649907785,0,0,0
USA,2021,9,f,240,6029,5605,7446,10534,29854,0.000421033421320152,0.00291709558221973,0.0164257217370661,0.0426215141302823,0.141051234146528,0.00925010312667927,0,0,0
USA,2021,9,b,525,16655,13316,15522,17552,63570,0.000449771168339775,0.00401291018224631,0.0206422460842684,0.0495955863363143,0.149082963503191,0.00994305988172668,0,0,0
USA,2021,10,m,291,10251,7473,7830,6807,32652,0.000487246018424464,0.00491991457609633,0.0245942316889523,0.056627969652041,0.158114718736349,0.0103133921840936,0,0,0
USA,2021,10,f,237,5876,5394,7129,10463,29099,0.00041577050355365,0.00284306744752415,0.0158073761016475,0.0408069801550876,0.140100537580703,0.00901617039201581,0,0,0
USA,2021,10,b,528,16127,12867,14959,17270,61751,0.000452341289301717,0.0038856921350397,0.0199462136051578,0.0477966999101228,0.146687715342987,0.00965854791185314,0,0,0
USA,2021,11,m,300,10206,7217,7547,6656,31926,0.000502315482911819,0.00489831705820302,0.0237517155224366,0.0545812627029315,0.154607252520808,0.0100840793479533,0,0,0
USA,2021,11,f,228,5881,5206,6924,10076,28315,0.000399981750254145,0.00284548666761224,0.0152564330710376,0.0396335433572488,0.134918571792331,0.00877325216158382,0,0,0
